Date,HDFCBANK.NS,ICICIBANK.NS,SBIN.NS,TCS.NS,INFY.NS,HCLTECH.NS,ITC.NS,HINDUNILVR.NS,RELIANCE.NS,LT.NS,^NSEI
2023-04-12,797.5288696289,861.3826293945,490.7098693848,2925.3261718750,1282.1873779297,947.8106689453,330.3842468262,2369.5190429688,1066.3074951172,2202.8449707031,17812.4003906250
2023-04-13,801.1025390625,869.9465332031,495.1227416992,2877.6789550781,1247.0872802734,928.1962890625,332.1052246094,2376.3120117188,1070.3289794922,2174.2082519531,17828.0000000000
2023-04-17,788.8904418945,872.1722412109,505.3884277344,2833.1440429688,1129.5780029297,902.5200195312,335.9249572754,2390.9755859375,1075.7589111328,2131.1330566406,17706.8496093750
2023-04-18,785.5534057617,867.8660278320,507.1071166992,2825.2482910156,1130.5205078125,921.2685546875,334.5397338867,2380.8562011719,1063.4449462891,2133.6357421875,17660.1503906250
2023-04-19,788.4407958984,863.0761108398,501.9510803223,2788.1135253906,1106.1478271484,899.4891357422,334.7496032715,2372.0019531250,1068.7385253906,2136.5234375000,17618.7500000000
2023-04-20,791.3754272461,865.4953002930,506.1316833496,2801.8303222656,1098.2482910156,898.4501342773,336.0509033203,2335.4604492188,1066.0349121094,2149.1811523438,17624.4492187500
2023-04-21,792.6535034180,857.0280761719,504.5987854004,2852.4111328125,1101.7941894531,908.3653564453,342.7248229980,2340.4731445312,1067.3753662109,2132.2880859375,17624.0507812500
2023-04-24,799.0671997070,875.5107421875,515.2360839844,2864.9995117188,1100.8515625000,912.7819824219,343.1026000977,2342.1599121094,1071.4650878906,2145.4753417969,17743.4003906250
2023-04-25,787.7070922852,883.9296875000,521.9249877930,2866.0825195312,1099.5947265625,912.2623291016,345.4951782227,2333.4458007812,1079.6667480469,2163.8122558594,17769.2500000000
2023-04-26,791.3281250000,885.3811645508,526.1520385742,2886.0710449219,1101.9738769531,922.7407226562,346.0828552246,2352.5131835938,1073.3280029297,2190.9565429688,17813.5996093750
2023-04-27,795.6829223633,888.6712036133,524.6657104492,2876.8671875000,1118.7604980469,927.6768188477,349.2309875488,2313.3012695312,1080.1212158203,2219.3046875000,17915.0507812500
2023-04-28,798.8068847656,887.9939575195,537.2539672852,2905.1118164062,1124.5958251953,937.2330932617,357.2481689453,2302.3859863281,1099.8646240234,2275.9035644531,18065.0000000000
2023-05-02,798.6411743164,892.3000488281,534.4667968750,2905.2478027344,1146.7689208984,940.2718505859,356.3247070312,2297.1391601562,1109.2025146484,2295.2033691406,18147.6503906250
2023-05-03,801.4339599609,893.0257568359,530.0075073242,2869.6018066406,1139.3182373047,932.6970825195,358.5913391113,2329.2766113281,1099.6829833984,2268.1071777344,18089.8496093750
2023-05-04,817.8351440430,891.9130249023,538.8332519531,2906.4206542969,1143.2679443359,939.6112060547,356.4506530762,2348.7182617188,1112.3605957031,2268.6845703125,18255.8007812500
2023-05-05,769.4835815430,896.9934082031,535.5816650391,2915.4453125000,1130.2961425781,929.7024536133,359.9345397949,2343.0964355469,1109.5206298828,2288.5131835938,18069.0000000000
2023-05-08,778.3822631836,907.5894775391,542.1777343750,2933.4033203125,1136.1312255859,947.4940185547,362.2011718750,2357.6662597656,1123.2205810547,2276.8662109375,18264.4003906250
2023-05-09,778.4060058594,904.2026367188,532.7946166992,2962.8669433594,1140.7095947266,950.3566894531,355.7790222168,2357.1982421875,1126.6967773438,2285.4814453125,18265.9492187500
2023-05-10,782.0032958984,905.7991943359,531.5869140625,2966.0708007812,1134.0217285156,949.7402954102,357.0802001953,2363.6625976562,1134.4443359375,2275.9519042969,18315.0996093750
2023-05-11,782.5240478516,908.8474731445,532.7481689453,2961.8745117188,1127.6031494141,958.3718261719,352.9247436523,2428.9689941406,1127.0377197266,2158.2292480469,18297.0000000000
2023-05-12,789.4347534180,913.3955688477,537.1146240234,2954.7902832031,1117.8179931641,964.8895874023,352.9667053223,2458.0146484375,1128.8778076172,2137.9675292969,18314.8007812500
2023-05-15,793.2214965820,915.1857910156,540.5984497070,2937.4189453125,1129.6229248047,968.6327514648,359.1370239258,2494.4155273438,1131.1043701172,2162.7536621094,18398.8496093750
2023-05-16,788.6732788086,915.7663574219,544.6860961914,2940.2160644531,1134.9643554688,960.6617431641,355.9049377441,2507.2048339844,1114.9960937500,2143.8388671875,18286.5000000000
2023-05-17,784.4360961914,908.9926147461,544.6860961914,2895.5917968750,1119.3442382812,946.4373168945,358.9690856934,2493.9467773438,1108.4073486328,2136.5234375000,18181.7500000000
